Run,FinalTime,ResourcesCollected
1,1800.000000,84.000000
2,1800.000000,94.000000
3,1800.000000,82.000000
4,1800.000000,74.000000
5,1800.000000,79.000000
6,1800.000000,101.000000
7,1800.000000,85.000000
8,1800.000000,120.000000
9,1800.000000,99.000000
10,1800.000000,109.000000
11,1800.000000,87.000000
12,1800.000000,87.000000
13,1800.000000,90.000000
14,1800.000000,90.000000
15,1800.000000,98.000000
16,1800.000000,104.000000
17,1800.000000,92.000000
18,1800.000000,88.000000
19,1800.000000,78.000000
20,1800.000000,89.000000
21,1800.000000,86.000000
22,1800.000000,112.000000
23,1800.000000,99.000000
24,1800.000000,81.000000
25,1800.000000,104.000000
26,1800.000000,84.000000
27,1800.000000,93.000000
28,1800.000000,89.000000
29,1800.000000,103.000000
30,1800.000000,84.000000
31,1800.000000,88.000000
32,1800.000000,103.000000
33,1800.000000,80.000000
34,1800.000000,92.000000
35,1800.000000,107.000000
36,1800.000000,108.000000
37,1800.000000,84.000000
38,1800.000000,89.000000
39,1800.000000,90.000000
40,1800.000000,97.000000
41,1800.000000,78.000000
42,1800.000000,91.000000
43,1800.000000,82.000000
44,1800.000000,69.000000
45,1800.000000,84.000000
46,1800.000000,85.000000
47,1800.000000,94.000000
48,1800.000000,82.000000
49,1800.000000,92.000000
50,1800.000000,109.000000
51,1800.000000,103.000000
52,1800.000000,98.000000
53,1800.000000,86.000000
54,1800.000000,98.000000
55,1800.000000,81.000000
56,1800.000000,73.000000
57,1800.000000,76.000000
58,1800.000000,104.000000
59,1800.000000,79.000000
60,1800.000000,96.000000
61,1800.000000,84.000000
62,1800.000000,100.000000
63,1800.000000,85.000000
64,1800.000000,80.000000
65,1800.000000,83.000000
66,1800.000000,81.000000
67,1800.000000,92.000000
68,1800.000000,74.000000
69,1800.000000,78.000000
70,1800.000000,86.000000
71,1800.000000,90.000000
72,1800.000000,73.000000
73,1800.000000,108.000000
74,1800.000000,92.000000
75,1800.000000,88.000000
76,1800.000000,84.000000
77,1800.000000,91.000000
78,1800.000000,80.000000
79,1800.000000,66.000000
80,1800.000000,99.000000
81,1800.000000,90.000000
82,1800.000000,89.000000
83,1800.000000,85.000000
84,1800.000000,95.000000
85,1800.000000,73.000000
86,1800.000000,78.000000
87,1800.000000,84.000000
88,1800.000000,96.000000
89,1800.000000,71.000000
90,1800.000000,86.000000
91,1800.000000,85.000000
92,1800.000000,97.000000
93,1800.000000,104.000000
94,1800.000000,81.000000
95,1800.000000,103.000000
96,1800.000000,95.000000
97,1800.000000,78.000000
98,1800.000000,85.000000
99,1800.000000,69.000000
100,1800.000000,91.000000
